kevin, Alison
wendy, Alison
wendy, Alison
ken, Alison cream soda
wendy, Alison cream
kevin, soda
ken, soda
wendy, 
wendy, 
kendra, 
marci, 
marci, 
marci, 
marci, 
ken, 
wendy, 
ken, 
kendra, 
wendy, 
kendra, 
wendy, 
marci, but I'm going to complain about it
marci, it they don't make white gravy
marci, 
marci, 
marci, 
marci, 
marci, 
wendy, 
wendy, 
wendy, 
wendy, regular
marci, regular regular
marci, 
ken, 
wendy, I was kind of wondering about that bottled water for
wendy, for the sparkling water but
wendy, but they don't make this
marci, but they don't make this kind at all anymore
kendra, make this
kendra, all anymore
kendra, 
wendy, 
marci, 
kendra, 
kendra, 
ken, 
marci, 
marci, 
kendra, 
wendy, 
marci, 
marci, 
wendy, 
wendy, 
marci, 
wendy, 
kevin, 
kendra, 
ken, 
marci, 
marci, 
ken, that's
ken, that's
kendra, that's
kevin, that's
kendra, that's
kevin, that's
kendra, that's
wendy, that's
wendy, that's
wendy, that's
marci, that's
wendy, that's
kendra, that's
marci, that's
kevin, that's
kendra, that's
ken, that's
kevin, that's
kendra, that's
wendy, that's
wendy, that's
marci, that's
kendra, that's
kendra, that's
marci, that's
ken, that's right
kevin, that's right
kevin, right there is more to tonight
wendy, 
wendy, 
wendy, 
x, 
kendra, 
wendy, well I have
wendy, 
wendy, 
marci, 
ken, 
marci, 
kendra, well
wendy, well she's in here stopping I
marci, stopping I hope you're having
wendy, I hope you're having Wendy
marci, having Wendy
kevin, Wendy has tried her hand
kevin, hand for the first time at making a clue or
ken, or
ken, or clue well
kevin, well
wendy, well
ken, well
wendy, well
wendy, well
kendra, well
kendra, well
kevin, well
kendra, well
kevin, well it's definitely stupid
ken, it's definitely stupid
kevin, stupid
kendra, stupid
wendy, stupid
ken, stupid
kevin, stupid
wendy, stupid
marci, stupid
wendy, stupid
x, stupid
wendy, stupid
marci, stupid
marci, stupid
wendy, stupid
wendy, stupid
wendy, stupid
kevin, stupid
kevin, 
wendy, 
ken, 
kendra, 
kevin, 
ken, 
kendra, 
marci, 
wendy, 
marci, I
ken, I
marci, I
ken, I don't think any
kevin, I don't think any will guess it though
wendy, any
kevin, though so
marci, so
ken, so
ken, so that's
kevin, so that's the whole
kevin, whole point of
wendy, of
wendy, of
wendy, of
wendy, of
kevin, of
wendy, of
kendra, of
kendra, of
marci, of
kevin, of
kendra, of
kevin, of
kevin, of
wendy, of
kendra, of
kevin, of
marci, of an exponential
kevin, of an exponential for
marci, for Xbox
wendy, for Xbox
marci, 
marci, 
wendy, 
wendy, 
wendy, 
kevin, 
kendra, 
wendy, 
wendy, 
wendy, 
ken, 
kendra, 
ken, 
wendy, 
ken, 
marci, on my tooth
kendra, 
kendra, on my tooth
kendra, it's
marci, it's
wendy, it's stuck in your gum
kevin, 
wendy, shootout
marci, shootout
wendy, 
kevin, 
wendy, 
kevin, 
wendy, 
ken, images don't open
