fred, Alison cream
fred, cream soda
fred, 
fred, 
fred, 
fred, 
jim, 
fred, 
fred, 
fred, but
fred, but I'm going to complain about it they don't make white gravy
fred, 
fred, 
joe, 
joe, regular regular
joe, I was kind of wondering about that
joe, that bottled water for the sparkling water but they don't make this kind at all anymore
joe, 
joe, 
joe, 
joe, 
joe, 
joe, 
joe, that's
joe, that's
fred, that's
joe, that's
joe, that's
joe, that's
joe, that's
joe, that's
joe, that's right there is more to tonight
joe, 
joe, well I have
joe, 
joe, well she's in here stopping I hope
joe, hope you're having Wendy has tried her hand
joe, hand for the
joe, the first time at making
joe, making a clue or clue well
joe, well
joe, well
joe, well
joe, well it's definitely stupid
joe, stupid
joe, stupid
joe, stupid
joe, 
fred, I don't
joe, I
joe, don't think any
joe, any will guess it though so
joe, so that's the whole point of
fred, whole point of
joe, of
joe, of
joe, of an exponential for Xbox
joe, 
jim, 
jim, 
jim, 
joe, 
joe, 
fred, 
joe, 
joe, 
fred, 
fred, 
fred, 
joe, 
joe, 
joe, 
fred, 
joe, 
kurt, 
fred, 
joe, 
joe, 
fred, 
joe, on my tooth
fred, tooth it's
joe, tooth it's stuck in your gum
kurt, shootout
kurt, shootout
kurt, 
joe, 
kurt, images
joe, 
joe, images
kurt, images
kurt, images don't open your mouth
joe, images don't open your mouth
kurt, mouth
kurt, 
kurt, 
joe, 
kurt, barely
joe, barely
joe, barely see it
fred, see it
joe, Big
joe, Big Lots on YouTube
joe, 
joe, 
joe, everybody
joe, everybody
joe, 
joe, 
joe, 
joe, tired
joe, tired
joe, yeah I
joe, I mean when Mary tells me to go to sleep over
joe, over the weekend you know I need to go to sleep over the
joe, the weekend that's
joe, that's good you're getting some good rest I
joe, I have mentioned
joe, mentioned about 10 out my
joe, my 10 hours every night and I'm still like
joe, like but I think I'm over it. And I'm
joe, I'm like what is
joe, is wrong with me that I am sleeping so much are
joe, are
joe, are
joe, are you
joe, 
joe, Beyonce
joe, Beyonce when she was pregnant
joe, pregnant
joe, 
joe, Trish
joe, Trish
joe, Trish told
joe, told me she was playing
joe, playing some
joe, some
joe, some
joe, some little bitty Church from where I am now going
fred, going to see your
joe, your friend right
joe, right shower
fred, right shower
fred, shower
joe, shower
joe, shower
joe, shower at Becky's house
joe, that
joe, that she was pregnant again like 2 weeks pregnant I thought
fred, thought
fred, thought
joe, thought
fred, thought
joe, thought
jim, thought
jim, thought
jim, thought it was her
joe, 
fred, 
joe, 
fred, 
joe, 
joe, 
joe, Trish I
joe, I
joe, I haven't even seen
joe, seen her for
joe, for years
joe, 
joe, 
joe, 
joe, 
joe, 
joe, 
joe, is she
joe, she working yet or still at home no
fred, no
fred, no
fred, no
joe, no to
joe, to that point
joe, point she was still
joe, still on and in
joe, in unending
fred, unending
fred, unending money
fred, money Street
fred, to
fred, to the passage to get on her husband yeah
joe, yeah
joe, yeah but has 30,000
joe, 30,000
joe, 30,000
joe, 30,000
joe, 30,000 out was supposed to pay line
joe, line continuously
fred, 
joe, 
joe, 
joe, 
fred, 
joe, 
fred, 
fred, how much is your life
jim, life insurance for
fred, 
fred, 
fred, 
jim, 
jim, 
jim, 
jim, 
jim, 
jim, 
jim, 
jim, 
fred, 
jim, somebody want some presents were
joe, somebody
jim, were
jim, 
jim, I think she wants some presents that was some cards
jim, cards or something that we do
jim, 
fred, 
joe, 
jim, 
jim, 
jim, 
jim, 
fred, 
kurt, 
joe, 
jim, chill
fred, chill what's
fred, what's mean
jim, mean
jim, yo babe
fred, babe how come this comes into fart plastic
joe, plastic
kurt, plastic
jim, plastic
kurt, plastic
joe, plastic
jim, plastic
joe, plastic
jim, plastic
jim, plastic bag
joe, 
jim, 
fred, 
jim, 
fred, 
fred, 
jim, 
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
joe, 
fred, 
jim, 
jim, 
fred, 
jim, 
jim, 
jim, thank you for those
jim, those hard to cut something on
jim, 
jim, 
jim, 
jim, YouTube
fred, YouTube Senor De
jim, YouTube Senor De of Little Treasures
jim, Treasures Simple
jim, Simple Pleasures happy birthday they're always dorky
jim, dorky but at least they have
kurt, they have cats
joe, cats on it right
jim, right
jim, 
joe, 
jim, 
jim, 
jim, 
jim, 
jim, 
jim, be full
jim, full of love joy peace Lord we love you Kevin
jim, Kevin wedding veils a
jim, a piece the monster
fred, piece
jim, monster that is between she
jim, she might not have mentioned taking
jim, taking it was wishing
fred, wishing your day I
kurt, wishing your day I wish
kurt, wish
fred, wish
fred, wish it was
kurt, was a little
joe, little monster
jim, monster
joe, 
joe, 
joe, 
fred, 
joe, feels
fred, feels like a pair
jim, pair and a spare dad
jim, dad
fred, 
kurt, 
joe, 
jim, 
jim, 
fred, stare
fred, stare
joe, 
fred, 
fred, 
fred, 
fred, Rubbermaid
fred, Rubbermaid you can't squash it
fred, it ever
fred, ever made
fred, 
fred, 
fred, that includes
fred, includes all the teaspoons know we
fred, we
fred, we
fred, we bought them before you
fred, you had an apartment
fred, well in that cuz I've got
fred, got to be yellow
fred, I wish I
fred, I could have been using
fred, using
fred, using
fred, using
fred, using
fred, using
fred, using them for several years
fred, years but just trying
fred, trying to get rid of them
fred, wow
fred, wow that's a real McCoy this
fred, this is the knife to
fred, to use for birthdays window
fred, window
fred, window
fred, window
fred, window switch your hair sure is
fred, is
fred, 
fred, 
fred, show
fred, show show me was
fred, was in there
fred, weather
fred, weather Flagstaff
fred, 
fred, tub can
fred, can you have
fred, have a cat in your apartment I'm going to have a cat in
fred, in my apartment
fred, apartment
fred, 
fred, 
fred, 350
fred, 350 bucks
fred, bucks that is
fred, is microwavable
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
fred, don't
fred, don't drop it on my keys for everything break some
fred, some nights
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
jim, 
jim, 
jim, on
joe, 
jim, on
joe, on
joe, on my first day of my new apartment
fred, on my
jim, first day of
fred, new apartment
fred, 
fred, 
fred, 
fred, 
fred, 
fred, 
joe, yeah
fred, 
fred, 
joe, yeah probably the
joe, the best time to find out boy let me tell you
joe, 
joe, 
joe, 
joe, 
joe, 
jim, 
joe, 
joe, 
jim, 
fred, 
joe, 
fred, 
jim, 
fred, 
fred, 
fred, 
